,Year,Country,Region,city,AttackType,Killed,Wounded,Target,Summary,Group,Target_type,Weapon_type,Motive
7547,2003,Turkey,Middle East & North Africa,Ankara,Facility/Infrastructure Attack,0,0.0,"KDP office in Ankara, Turkey","03/04/2003: Unknown perpetrators threw two Molotov cocktails at the Kurdistan Democratic Party's office in Ankara, Turkey. One was thrown inside the office and started a fire, while the second was thrown outside the building. A fax sent earlier in the day said ""Revenge will be taken for this incident,"" referring to the burning of Turkish flags at anti-Turkish demonstrations in Northern Iraq.",Unknown,Government (General),Incendiary,Unknown
7600,2003,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,0.0,"Post office in Istanbul, Turkey","03/12/2003: Unknown perpetrators threw two petrol bombs at a post office in Istanbul, Turkey, injuring no one and damaging the ground floor of the two-story building.",Unknown,Government (General),Explosives,Unknown
7724,2003,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,1.0,British Consulate in Istanbul,"04/03/2003: An explosive device was thrown at the British Consulate in Istanbul by an unknown assailant. The blast caused considerable damage to the Consulate and blew out windows of an adjacent hotel, leaving one Turkish hotel guest with minor cuts. Turkish police believed the bomb was a resonant device (sound bomb) of relatively crude construction. No one claimed responsibility for the attack.",Unknown,Government (Diplomatic),Explosives,Unknown
7873,2003,Turkey,Middle East & North Africa,Ankara,Bombing/Explosion,1,1.0,Unknown,"05/20/2003: A female suicide bomber blew up a cafe in the Turkish capital, killing herself and injuring another person. The woman accidentally set off the explosives that she was carrying for an attack. Police said the woman was a member of the Revolutionary People's Liberation Party-Front (DHKP-C).",Devrimici Halk Kurtulus Cephesi (DHKP/C),Unknown,Explosives,Unknown
7921,2003,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,5.0,A bus carrying Turkish security court (DGM) prosecutors,"06/03/2003: Five people were injured in Istanbul when a radio-controlled bomb exploded next to a bus carrying Turkish security court (DGM) prosecutors. Those injured included a government prosecutor, two police officers, and two civilians. The bomb exploded as the bus was passing under a pedestrian bridge on the European side of Istanbul. Several cars were damaged in the bombing as well. The Revolutionary People's Liberation Party-Front (DHKP-C), a leftist organization, claimed responsibility for the attack.",Devrimici Halk Kurtulus Cephesi (DHKP/C),Government (General),Explosives,Unknown
7978,2003,Turkey,Middle East & North Africa,Tokat,Armed Assault,1,2.0,Turkish Soldiers,"07/03/2003: Rebels belonging to the Turkish Workers and Peasant Liberation Army (TKP/ML-TIKKO) attacked troops who were preparing to launch a security sweep in a rural area in Tokat Province, Turkey. One soldier was killed and two others were injured.",Turkish Communist Party/Marxist (TKP-ML),Military,Firearms,Unknown
7994,2003,Turkey,Middle East & North Africa,Pulumur,Assassination,2,1.0,Tunceli Province Governor Ali Cafer Akyuz,"07/08/2003: A convoy of vehicles carrying Tunceli Mayor Hasan Korkma, and Tunceli Province Governor Ali Cafer Akyuz, was attacked by approximately 10 rebels, believed to be part of the Kurdish WorkersÂ Party (PKK). Two security personnel were killed while another security officer was injured. The attack occurred near Pulumur in the Turkish Province of Tunceli.",Kurdistan Workers' Party (PKK),Government (General),Firearms,Unknown
8001,2003,Turkey,Middle East & North Africa,Yenikoy,Hostage Taking (Kidnapping),4,1.0,"Five villagers of Yenikoy, Turkey","07/10/2003: Suspected Kurdish Rebels of the Kurdistan Workers' Party (PKK) raided Yenikoy, Turkey. The rebels kidnapped five villagers, removing the victims from their homes and took them to one spot in the village where they were tortured and four of the five were killed.",Kurdistan Workers' Party (PKK),Private Citizens & Property,Melee,Unknown
8074,2003,Turkey,Middle East & North Africa,Ankara,Bombing/Explosion,0,11.0,The Justice Ministry's Center of Education for Judge and Prosecutor Canidates in Ankara,"08/01/2003: An unnamed leftist organization detonated an explosive device in the garden of the Justice Ministry's Center of Education for Judge and Prosecutor Candidates in Ankara, Turkey. Eleven people, including policemen and judges, were injured in the explosion. Although a group claimed responsibility for the attack, TurkeyÂs Interior Minister, Abdulkadir Aksu, did not publicly reveal the perpetrator groupÂs name.",Unknown,Government (General),Explosives,Unknown
8256,2003,Turkey,Middle East & North Africa,Tunceli,Bombing/Explosion,0,2.0,A police station in Tunceli,"11/13/2003: Unknown perpetrators threw a hand grenade at a police station in Tunceli, Turkey. The grenade injured a policeman and a night watchman who were on duty. No group claimed responsibility for the attack.",Unknown,Police,Explosives,Unknown
8258,2003,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,11,151.0,Civilians near Neve Shalom Synagogue,"11/14/2003: Two car bombings by the militant Islamic group, Great East Islamic Raiders Front (IBDA-C - Islami Buyuk Dogu Akincilar Cephesi), on synagogues in Istanbul, Turkey, killed at least twenty people and injured 302 others. One of the two blasts left a massive two meter-deep crater outside the Neve Shalom synagogue in the Beyoglu suburb, shattering windows, damaging cars, and killing people.  The group identified itself in a telephone call to the Anadolu News Agency.",Great Eastern Islamic Raiders Front (IBDA-C),Religious Figures/Institutions,Explosives,Unknown
8259,2003,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,11,151.0,Beth Israel Synagogue,"11/14/2003: Two car bombings by the militant Islamic group, Great East Islamic Raiders Front (IBDA-C - Islami Buyuk Dogu Akincilar Cephesi), on synagogues in Istanbul, Turkey, killed at least twenty people and injured 302 others.  One of the two almost simultaneous blasts occurred at the Beth Israel Synagogue, damaging the building and several cars.  Numerous people were reportedly killed and injured in the bombing.  The group identified itself in a telephone call to the Anadolu News Agency.",Great Eastern Islamic Raiders Front (IBDA-C),Religious Figures/Institutions,Explosives,Unknown
8274,2003,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,16,224.0,British Embassy in Turkey,"11/20/2003: 15 people were killed and several hundred injured in an explosion at the British Consulate in Istanbul, Turkey. The explosion had an ammonium nitrate base. Authorities believe the assailants were linked to Al-Qaida and one was killed in the explosion.",Al-Qaida,Government (Diplomatic),Explosives,Unknown
8275,2003,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,16,224.0,HSBC in Istanbul,"11/20/2003: 15 people were killed and several hundred injured in an explosion an HSBC Bank in Istanbul, Turkey. The explosion had an ammonium nitrate base. Authorities believe the assailants were linked to Al-Qaida and one was killed in the explosion.",Al-Qaida,Business,Explosives,Unknown
8309,2003,Turkey,Middle East & North Africa,Nusaybin,Bombing/Explosion,5,4.0,Security team for the Turkish Petroleum Company facilities in the region.,"12/01/2003: A bomb laid by militants of the People's Defense Forces (HPG) on the Nusaybin-Midyat road of Beyazsu region in Nusaybin, Mardin Province, Turkey, exploded, killing five and wounding four soldiers as their military vehicle was passing by. The unit was responsible for the security of Turkish Petroleum Company facilities in the region.",Kurdistan Workers' Party (PKK),Military,Explosives,Unknown
8502,2004,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,2,6.0,"Indiscriminate civilians at a Masonic Lodge in Istanbul, Turkey.","03/09/2004: Two unknown militants stormed an Masonic lodge in Istanbul, Turkey, spraying members with gunfire and detonating suicide bombs. The attacks killed two people and injured six; one perpetrator was killed and the other injured.",Unknown,Private Citizens & Property,Explosives,Unknown
8520,2004,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,1.0,"Turkish policemen in Istanbul, Turkey.","03/17/2004: A perpetrator was injured when attempting to place a pipe bomb outside of a police station in Istanbul, Turkey. Only the perpetrator, Lokman Aslan, was injured when the homemade pipe bomb exploded prematurely.",Unknown,Police,Explosives,Unknown
8658,2004,Turkey,Middle East & North Africa,Ankara,Bombing/Explosion,0,0.0,"HSBC Banks in Ankara, Turkey","05/17/2004: Unknown individuals exploded four bombs outside of British HSBC banks in Ankara, Turkey. The bombings resulted in slight damage to the banks but no casualties.",Unknown,Business,Explosives,Unknown
8659,2004,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,0.0,"HSBC Banks in Istanbul, Turkey","05/17/2004: Unknown individuals exploded four bombs outside of British HSBC banks in Istanbul, Turkey. The bombings caused slight damage to the buildings but no casualties.",Unknown,Business,Explosives,Unknown
8666,2004,Turkey,Middle East & North Africa,Pervari,Armed Assault,5,1.0,"A Brigade Command building in Pervari, Turkey","05/18/2004: Guerrillas from the People's Defense Forces (HPG) attacked Turkish military buildings in Pervari, Turkey, killing five policemen and wounding one. The perpetrators seized weapons and equipment during the attack. The People's Defense Forces (HPG) later claimed responsibility for the incident. According to the statement issued by the HPG Press Communications Center, HPG guerrillas entered Pervari from five different routes and targeted the Brigade Command building, the police headquarters, and the police station from a close distance with B-7 missile launchers, bombs, and other personal weapons.",Kurdistan Workers' Party (PKK),Military,Firearms,Unknown
8760,2004,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,1.0,Civilians in Istanbul,"06/14/2004: A bomb that was placed among garbage bags near a bank in Kadikoy district of Istanbul went off, injuring a cleaning worker. No group claimed responsibility for the attack.",Unknown,Business,Explosives,Unknown
8795,2004,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,4,14.0,Turkish civilians on a bus in Istanbul,"06/24/2004: A bomb exploded on an Istanbul bus, killing at least four people and wounding 14. No group claimed responsibility for the attack.",Unknown,Transportation,Explosives,Unknown
8817,2004,Turkey,Middle East & North Africa,Van,Assassination,3,24.0,Governor Hikmet Tan,"07/02/2004: Governor Hikmet Tan was the target of a car bombing in the city of Van that killed at least three people and left 24 others injured, thought he governor escaped unharmed. The bomb was planted in a parked car and detonated by remote control. There was minor damage to the governorÂs car, as well as surrounding buildings.  Authorities suspected the Kurdistan Workers' Party (PKK) was responsible for the attempted assassination, though the PKK denied this. While it was unknown how many perpetrators were involved, one suspect was detained.",Kurdistan Workers' Party (PKK),Government (General),Explosives,Unknown
